Date,Close
04/01/2016 16:00:00,55.54
05/01/2016 16:00:00,56.13
06/01/2016 16:00:00,55.16
07/01/2016 16:00:00,54.31
08/01/2016 16:00:00,54.56
11/01/2016 16:00:00,54.19
12/01/2016 16:00:00,54.05
13/01/2016 16:00:00,53
14/01/2016 16:00:00,53.63
15/01/2016 16:00:00,52.27
18/01/2016 16:00:00,52.38
19/01/2016 16:00:00,53.27
20/01/2016 16:00:00,51.87
21/01/2016 16:00:00,52.74
22/01/2016 16:00:00,54.47
25/01/2016 16:00:00,52.92
26/01/2016 16:00:00,53.26
27/01/2016 16:00:00,54.3
28/01/2016 16:00:00,56.4
29/01/2016 16:00:00,57.39
01/02/2016 16:00:00,56.34
02/02/2016 16:00:00,55.57
03/02/2016 16:00:00,55.78
04/02/2016 16:00:00,56.86
05/02/2016 16:00:00,56.8
08/02/2016 16:00:00,55.68
09/02/2016 16:00:00,54.17
10/02/2016 16:00:00,52.66
11/02/2016 16:00:00,52.06
12/02/2016 16:00:00,54.02
16/02/2016 16:00:00,55.07
17/02/2016 16:00:00,56.23
18/02/2016 16:00:00,56.33
19/02/2016 16:00:00,56.01
22/02/2016 16:00:00,55.48
23/02/2016 16:00:00,54.79
24/02/2016 16:00:00,53.57
25/02/2016 16:00:00,53.53
26/02/2016 16:00:00,53.98
29/02/2016 16:00:00,54.76
01/03/2016 16:00:00,57.93
02/03/2016 16:00:00,57.75
03/03/2016 16:00:00,58.62
04/03/2016 16:00:00,59.5
07/03/2016 16:00:00,60.53
08/03/2016 16:00:00,61.23
09/03/2016 16:00:00,61.81
10/03/2016 16:00:00,61.56
11/03/2016 16:00:00,62.27
14/03/2016 16:00:00,62.05
15/03/2016 16:00:00,62.36
16/03/2016 16:00:00,62.43
17/03/2016 16:00:00,63.9
18/03/2016 16:00:00,63.57
21/03/2016 16:00:00,63.66
22/03/2016 16:00:00,63.4
23/03/2016 16:00:00,63.27
24/03/2016 16:00:00,62.42
28/03/2016 16:00:00,62.91
29/03/2016 16:00:00,63.22
30/03/2016 16:00:00,63.55
31/03/2016 16:00:00,63.47
01/04/2016 16:00:00,62.72
04/04/2016 16:00:00,62.48
06/04/2016 16:00:00,62.03
07/04/2016 16:00:00,61.31
08/04/2016 16:00:00,61.85
11/04/2016 16:00:00,61.54
12/04/2016 16:00:00,62.54
13/04/2016 16:00:00,63.65
14/04/2016 16:00:00,63.88
15/04/2016 16:00:00,63.64
18/04/2016 16:00:00,63.66
19/04/2016 16:00:00,64.33
